title,category_name,primary_category,subcategory,quality_score,target_audience
"DEWENWILS Outdoor Smart Wi-Fi Outlet Box, Heavy Duty 40A 120VAC 2HP Wireless Controller Timer Switch for Pool Water Heater SPA, Compatible with Smart Phone, Alexa, UL Listed",Industrial  Scientific,Electronics,Smart Home Switches,5,Home Users
"KEMEXC Toilet Seat with Toddler Seat Built in, Slow-Close, Quick-Release Hinges, Easy to Clean, 6 Anti-Slip Devices Never Loosen, Potty Training Toilet Seat, Toddler Toilet Seat, White Round 16.5""",Industrial  Scientific,Home & Kitchen,Toilet Seats,4,Parents/Families
"Heat Insulation Silicone Repair Mat with Scale Ruler and Screw Position for Soldering Iron, Phone and Computer Repair Size:17.9 x 11.8 Inches",Industrial  Scientific,Tools & Hardware,Soldering Mats,5,Hobbyists
MulWark 6pc Premium Grade Magnetic Mini Flathead and Phillips General Micro Precision Head Small Screwdriver Set CRV Eyeglasses Jewelry Watches Electronics Computer Tools Repair Kit,Industrial  Scientific,Tools & Hardware,Precision Screwdriver Set,4,Hobbyists
DS.DISTINCTIVE STYLE Mini 3-in-1 Precision Screwdriver Keychain Eyeglasses Repair Kit with Keyring (1),Industrial  Scientific,Tools & Hardware,Precision Screwdriver Sets,4,General Consumers
"Fasgear USB 4 Cable: 6-inch Thunderbolt 4/3 Cable 100W Charging 40Gbps Data Transfer Compatible for Mac-Book Pro i-Pad Pro 2021 Mac Mini M1 External SSD Hub Docking Monitor Egpu 15cm (15cm, Black)",Industrial  Scientific,Electronics,Computer Cables,4,Professionals
"Wisesorb 6LBS Silica Gel Flower Drying Crystals, Color Indicating Flower Drying Silica, Reusable Silica Gel for Drying Flowers",Industrial  Scientific,Tools & Hardware,Floral Preservation,5,Hobbyists
"ResMed Nasal Pillow for AirFit P10 - Features Dual-Wall Technology - Single Pair, X-Small",Industrial  Scientific,Health & Beauty,CPAP Accessories,5,Home Users
"Command Picture Hanging Strips Variety Pack, Damage Free Hanging Picture Hangers, No Tools Wall Hanging Strips for Living Spaces, White, 10 Small Pairs and 8 Medium Pairs (36 Strips)",Industrial  Scientific,Tools & Hardware,Picture Hanging Hardware,5,Home Users
"Amazon Basics Foam Wrap Roll with 20 Fragile Stickers, 12 inches wide , 50 feet long, 1 Roll",Industrial  Scientific,Home & Kitchen,Packing Supplies,5,Home Users
"Vastar 42 in 1 Precision Screwdriver Set, Electronics Tool Kit with T5 T6 T7 T8 T9, Triwing Y00, Star P5 etc, Mini Repair Kit for Computer, Phone, PS5, Switch, Xbox, Laptop, Tablet, Controller, Watch",Industrial  Scientific,Tools & Hardware,Precision Screwdriver Set,5,Hobbyists
Pioneer Hi-Vis 5-pt Tear-Away Traffic Safety Vest - Breathable Poly Mesh - Drop Shoulder - Black - V1021470-S/M,Industrial  Scientific,Clothing & Fashion,High Visibility Vest,5,Professionals
Nanoleaf Canvas Smarter Kit,Industrial  Scientific,Electronics,Smart Home Lighting,4,Home Users
"SAICOOS Whiskey Stones 16 Pack,Reusable Ice Cubes, High Cooling Technology，Stainless Steel Ice Cubes, for Whiskey, Vodka, Liqueurs, Wine,Beverage Juice or Soda, Pack of 16…",Industrial  Scientific,Home & Kitchen,Barware Accessories,4,Home Users
"Bath Sealant Strip, Shower Seal Strip, Self-Adhesive Sealant Tape, Shower Threshold Water Barrier for Sink, Bathtub, Wet Room Floor (White(2M))",Industrial  Scientific,Tools & Hardware,Shower Seal Strips,4,Home Users
Gunpla 3 Pieces 4-1/2-inch 40 Tooth Alloy Steel TCT General Purpose Hard & Soft Wood Cutting Saw Blade with 7/8-inch Arbor,Industrial  Scientific,Tools & Hardware,Saw Blades,5,Professionals
"M6 x 12/16/20/25/30mm Flanged Hex Bolts and M8 x 16/20/25/30mm Flange Hexagon Screws, VIGURE 228PCS Stainless Steel 18-8 (304) M6-1.0 M8-1.25 Bolts Nuts Flat Lock Washers",Industrial  Scientific,Tools & Hardware,Stainless Steel Fasteners,4,Professionals
"Digital Caliper, MOOCK 0-6 inches Caliper Measuring Tool Electronic Digital Calipers Micrometer Vernier Caliper with Stainless Steel, Large LCD Screen, Inch Millimeter Fractions Conversion",Industrial  Scientific,Tools & Hardware,Precision Measuring Tools,4,Professionals
"Monbessi Work Knee Pads for Construction, Adjustable No-Slip Knee Protector with Thick Foam Padding for Housework, Gardening, Flooring, Roofing, Sports",Industrial  Scientific,Tools & Hardware,Knee Pads,5,Professionals
"UGREEN USB Cable USB 3.0 A to A Cable Male to Male 5Gbps Data Transfer Cord Nylon Braided Cable for Hard Drive Enclosure, TV Box, Modem, Camera, Printer, Laptop Cooling Fan, 6ft",Industrial  Scientific,Electronics,USB 3.0 Cable,5,Home Users
"CableCreation Active USB 3.0 Extension Cable 16.4 FT, USB 3.0 Extender Male to Female Cord with Signal Booster, Compatible with Oculus Quest 2, and Rift Sensor, Steam VR, Gaming PC, 5 Meters",Industrial  Scientific,Electronics,USB Extension Cables,4,Hobbyists
"UGREEN USB to USB C Cable 2Pack, 18W Dual Right Angle USB C Cable Fast Charge, 90 Degree USB C Charging Cord for Galaxy A53 A71 A03 S22 S21 S20 FE, Pixel 6a 5, LG G8 V50 V60, Moto G G53, 3FT",Industrial  Scientific,Electronics,USB-C Charging Cables,5,General Consumers
HOMOKUS Wine Rack Countertop Metal Wine Holder Tabletop Wine Rack Storage Wine Shelf Portable Wine Cabinet Freestanding Wine Holder for Bar Counter Restaurant Table and Living Room (Rosegold),Industrial  Scientific,Home & Kitchen,Wine Racks,3,Home Users
"2"" Plate Caster Wheels Heavy Duty 600 Lbs Load Capacity Swivel Casters with Brake Set of 4, Safety Dual Locking, No Noise Wheels for Furniture, Carts (Free Screws and Screwdriver)",Industrial  Scientific,Tools & Hardware,Caster Wheels,4,Professionals
VIGRUE 300Pcs M2.5/M3/M4/M5/M6/M8 Hex Allen Head Socket Set Screw Bolts Assortment Kit Grub Screw with Internal Hex Drive (Black),Industrial  Scientific,Tools & Hardware,Hex Socket Screws,5,Professionals
Philips 278846 Halogen 50W Mrc16 Xenon Medium Base Flood-3 Pack White,Industrial  Scientific,Home & Kitchen,Halogen Light Bulbs,5,Home Users
"SALI 25 Pack Cut Off Wheels 3 Inch General Purpose Metal Cutting Wheel for 3 in Angle Grinders and Die Grinders- Cutting Disc Aggressive Cutting 3"" x 1/16"" x 3/8"" Operating Up to 25000 RPM and 80 M/S",Industrial  Scientific,Tools & Hardware,Metal Cutting Wheels,4,Professionals
"Party Essentials Plastic Cutlery Assortment and Knives/Forks/Spoons, Neon Green, 17 Place Setting-Count",Industrial  Scientific,Home & Kitchen,Disposable Cutlery,4,Home Users
"Garage Door Top and Sides Seal 32.8 Feet Weatherproofing Universal Rubber Weather Sealing Strip Professional Included Nails, White",Industrial  Scientific,Tools & Hardware,Garage Door Weatherstripping,4,Home Users
"Sunex 2300, 1/2"" Drive, Universal Impact Joint, Cr-Mo Steel, Radius Corner Design, Flexible, Meets ANSI Standards",Industrial  Scientific,Tools & Hardware,Impact Tool Accessories,5,Professionals
"BANCHELLE Tissue Refills Paper for Car Tissue Holder, 50PCS/Bag, 2-Ply (12 Bags)",Industrial  Scientific,Home & Kitchen,Tissue Paper,5,Home Users
"ScotchBlue Painter's Tape Applicator, White, with 1 Starter Roll 1.41 in. x 20 yd.",Industrial  Scientific,Tools & Hardware,Tape Dispensers,5,Home Users
DiCUNO 450pcs(5 Colors x 90pcs) 5mm LED Light Emitting Diode Round Assorted Color White/Red/Yellow/Green/Blue Kit Box,Industrial  Scientific,Electronics,LED Components,5,Hobbyists
"Telescope 130EQ Newtonian Reflector Telescopes for Adults, Professional Telescopes for Adults Astronomy, Comes with 1.5X Barlow Lens Smartphone Adapter & 13% T Moon Filter",Industrial  Scientific,Sports & Outdoors,Astronomy Telescopes,3,Hobbyists
"Short USB C to USB C Cable, CableCreation Type C Fast Charging USB C Cable 0.8FT, Double-Braided Exterior Compatible with Galaxy S23 Ultra S22 S21 S20 Note 20, MacBook, iPad Mini 6, iPad Pro 2020",Industrial  Scientific,Electronics,USB C Cables,4,Professionals
"Palace Learning 4 Pack - Anatomical Poster Set - Laminated - Muscular, Skeletal, Ligaments of the Joints, Anatomy of the Spine - Anatomy Chart Set (LAMINATED, 18” x 27”)",Industrial  Scientific,Other,Medical Wall Charts,5,Students
"hansang E12 Candelabra LED Light Bulbs, 40W Equivalent, 4000K Natural Daylight, Dimmable E12 Small Base Edison Bulbs for Ceiling Fan, Type B Chandelier Light Bulbs, 120V, CRI85+, 400LM, 8 Pack",Industrial  Scientific,Home & Kitchen,LED Light Bulbs,5,Home Users
"Casters, 4"" Caster Wheels，Casters Set of 4 Heavy Duty - ASRINIEY Orange Polyurethane Castors, Top Plate Swivel Wheels, 4-Pack Industrial Casters with Brake, Locking Casters for Furniture and Workbench",Industrial  Scientific,Tools & Hardware,Caster Wheels,4,Professionals
"Stainless Steel Ice Cubes, 8 PSC Reusable Whiskey Metal Chilling Stones Set, Whiskey Rocks and Ice Cube Trays, Great Gift for Father's Day, Dad's Birthday- Mens Gifts",Industrial  Scientific,Home & Kitchen,Whiskey Stones,4,Parents/Families
Lisle 51900 Spot Weld Chisel,Industrial  Scientific,Tools & Hardware,Welding Tools,5,Professionals
"Mayouko 3/8"" Drive Extra Long Allen Hex Bit Socket Set, S2&CR-V, Metric&SAE, 18 Pieces, 1/8"" - 3/8"", 3-10 mm",Industrial  Scientific,Tools & Hardware,Allen Hex Bit Set,4,Professionals
"Bestgle HSS Router Bits 1/8"" 3mm Shank Wood Engraving Milling Trimming Cutter Bits Fit for Foredom Rotary Tool Set Pack of 10",Industrial  Scientific,Tools & Hardware,Router Bits,5,Hobbyists
"ERNETTE 40PCS LED Foam Sticks - Glow Sticks - Glow Sticks for Weddings - Glow Sticks for Festivals Multi-color with 3 flashing modes, suitable for parties, festivals and celebrations.",Industrial  Scientific,Toys & Games,Party Supplies,4,General Consumers
"Kimberly-Clark Professional 67805 Scott 1000 Jumbo Roll Commercial Toilet Paper, Recycled Fiber, 2-PLY, White, 12 Rolls/Case",Industrial  Scientific,Home & Kitchen,Toilet Paper,5,Professionals
Cegzer 18 Universal Metal Wood Oscillating Multitool Quick Release Saw Blades Compatible with Fein Multimaster Porter Cable Black & Decker Bosch Dewalt Worx Rockwell Makita Milwaukee Chicago Craftsman,Industrial  Scientific,Tools & Hardware,Oscillating Tool Blades,5,Professionals
dudley 3-Digit Combination Lock - Graphic Design,Industrial  Scientific,Tools & Hardware,Combination Padlocks,3,Home Users
"BLACK+DECKER Jig Saw, Smart Select, 5.0-Amp (BDEJS600C)",Industrial  Scientific,Tools & Hardware,Jig Saw,5,Home Users
"BLACK+DECKER Dustbuster Handheld Vacuum, Cordless, Chili Red (HLVA320J26)",Industrial  Scientific,Home & Kitchen,Handheld Vacuums,5,Home Users
"Leviton 1403-W Lampholder with Two 15 Amp, 125 Volt, 2-Pole, 2-Wire Outlets - White",Industrial  Scientific,Tools & Hardware,Electrical Wall Outlets,5,Professionals
P-80 Plasma Cutter Roller Guide Wheel Spacer Circle Compass Stand Off Fit Pilot Arc Starting (One Screw Positioning),Industrial  Scientific,Tools & Hardware,Plasma Cutter Accessories,2,Professionals
"Bamada 7-Inch Long Shower Glass Door Hooks for Towel Robes, Over Door Hooks for Shower Frameless Glass Door 10mm thick, 2-Pack Heavy Duty Stainless Steel Bathroom Bathrobes & Towel Hanger Hooks Silver",Industrial  Scientific,Tools & Hardware,Shower Door Hooks,5,Home Users
"Master Lock 2300D Pen Oiler Lock Lubricant with PTFE, 0.25-Ounces",Industrial  Scientific,Tools & Hardware,Lock Lubricant,5,Home Users
StarTech.com 15.7 in (400 mm) SATA Power Splitter Adapter Cable - M/F - 4x Serial ATA Power Cable Splitter (PYO4SATA),Industrial  Scientific,Electronics,SATA Power Splitters,5,Hobbyists
"PIFUT E14 LED Bulb, Dimmable with Dimmer Switch, 110v 300 Lumens 2700k 40w Equivalent, Best Replacement for Halogen and Incandescent Bulb, Candelabra LED Bulbs, 10 Pack",Industrial  Scientific,Home & Kitchen,LED Light Bulbs,5,Home Users
"ISPINNER 385pcs 8 Sizes Aluminum Blind Rivets, Pop Rivets Assortment Kit (Silver)",Industrial  Scientific,Tools & Hardware,Blind Rivets,5,Hobbyists
"SAVITA 100pcs Kraft Toothpick Flags, Brown Mini Food Labels Flags for Party Food, Cupcake Decoration, Cheese Label, Fruit Salad，Food Tags",Industrial  Scientific,Home & Kitchen,Cake Decorating Supplies,5,Home Users
"Medicom AssureTouch Agile Nitrile Gloves with Fingertip Grips 100pc, Blue Multi Use Nitrile Disposable Gloves Without Powder",Industrial  Scientific,Health & Beauty,Disposable Nitrile Gloves,5,Professionals
"YESWELDER Digital MIG-205DS MIG Welder,200Amp 110/220V Dual Voltage MIG Welding Machine, Gas/Gasless MIG/Lift TIG/ARC 4 in 1 Welder",Industrial  Scientific,Tools & Hardware,Welding Equipment,5,Hobbyists
"VIVO Gray 250ft Bulk Cat6, CCA Ethernet Cable, 23 AWG, UTP Pull Box, Cat-6 Wire, Indoor, Network Installations (CABLE-V015)",Industrial  Scientific,Electronics,Ethernet Cables,5,Professionals
LePage 2In1 Seal & Bond Interior 295 ml,Industrial  Scientific,Tools & Hardware,Sealants & Caulks,4,Home Users
"3D Printer UV Resin Curing Light for SLA/DLP 3D Printer Solidify Photosensitive Resin 405nm UV Resin with 60W Output Affect, DIY Curing Enclosue",Industrial  Scientific,Electronics,3D Printer Accessories,3,Hobbyists
"Key Cover Ring, 50 Pcs Silicone Key Cover, Key Caps Covers for House Key, Office Keys, Keys Organization (8 Colors)",Industrial  Scientific,Tools & Hardware,Key Cover Accessories,4,Home Users
"A-M Gutter Guard - 1/2"" #8 Stainless Steel Zip Screws - Self-Piercing Easy Start Tip - Mill Finish - 1/4"" Slotted Hex Washer Head - Pack of 100 - Includes 1/4"" Magnetic Hex Driver – For Gutter Install",Industrial  Scientific,Tools & Hardware,Screws & Fasteners,5,Professionals
"DecoBros Door Hanger Over The Door Hook Towel Rack Bathroom Organizer, Chrome, 11 Hooks",Industrial  Scientific,Home & Kitchen,Bathroom Organizers,5,Home Users
250 Welding Machine,Industrial  Scientific,Tools & Hardware,Welding Machines,2,Professionals
Perfect Point Throwing Knife,Industrial  Scientific,Sports & Outdoors,Throwing Knives,4,Hobbyists
"DisplayPort to HDMI, Answin 6ft 4K DisplayPort to HDMI Cable - Nylon Braided DP to HDMI Uni-Directional Display Port to HDMI Adapter Cable for Most HDMI Monitors",Industrial  Scientific,Electronics,DisplayPort to HDMI Cable,5,General Consumers
"Rubbermaid Commercial Corn Fiber Whisk Broom, 12-1/4-Inch Overall Length, Yellow (FG9B5500YEL)",Industrial  Scientific,Home & Kitchen,Brooms & Mops,5,Professionals
Black Bathroom Faucet GGStudy Single Handle Bathroom Facet One Hole Bathroom Vanity Faucet,Industrial  Scientific,Tools & Hardware,Bathroom Faucets,3,Home Users
"DURATECH 1/4-Inch Drive Click Torque Wrench Set, 40-200 in-lb / 4.52-22.6 Nm, with Hex & Torx Bit Sockets, Storage Case Included",Industrial  Scientific,Tools & Hardware,Torque Wrench Sets,5,Professionals
"HANGDONE Nail Assortment 250-Pieces, 4 Sizes, Assorted Nails Kit for Wood/Drywall, Zinc Plated Finish",Industrial  Scientific,Tools & Hardware,Nails & Fasteners,5,Home Users
"Noctua NF-A12x25 PWM chromax.Black.swap, Premium Quiet Fan, 4-Pin (120mm, Black)",Industrial  Scientific,Electronics,Computer Cooling Fans,5,Hobbyists
"Square Tool and Carpenter Square Set,7 in. Aluminum Alloy Rafter Square +12in.Framing Square Combo,Upgraded L Square Ruler, Right Angle Ruler",Industrial  Scientific,Tools & Hardware,Carpentry Tools,4,Professionals
5 Inch Hook and Loop Backing Pad 5'' Backing Plate with 5/8-11 Threads Sanding Pad Angle Grinder Accessories Sanding Buffing Polishing (1 Pack),Industrial  Scientific,Tools & Hardware,Sanding Pads,4,Professionals
Rapid Response STR-15S25 Strep A Test Kit (Pack of 25),Industrial  Scientific,Health & Beauty,Diagnostic Test Kits,5,Professionals
"VORXEON 9PCS Allen Wrench Hex Key Set, Metric Long Ball End Allen Key Set L-Key with Visible Coding for Bike Motorcycle Repair Furniture Assembly Household DIY (1.5mm-10mm)",Industrial  Scientific,Tools & Hardware,Hex Key Sets,5,Home Users
"USB Printer Cable 10FT/3M USB 2.0 Type A Male to B Male Computer Scanner Cord High Speed Compatible for Brother, HP, Canon, Lexmark, Dell, Xerox, Samsung and More",Industrial  Scientific,Electronics,Printer USB Cables,5,Home Users
Foam Only 1 pair used earplug you will get.,Industrial  Scientific,Health & Beauty,Foam Earplugs,2,Home Users
"VEVOR Impact Socket Set 1/2 Inches 19 Piece Impact Sockets, Deep Socket, 6-Point Sockets, Cr-V, 1/2 Inches Drive Socket Set Impact 3/8 inch - 1-1/2 inch, with a Storage Cage, Blue",Industrial  Scientific,Tools & Hardware,Socket Sets,4,Professionals
"LOVIMAG Magnetic Hooks Heavy Duty, 100LBS Strong Magnet Hooks for Hanging Heavy Duty, Magnetic Hooks for Cruise Cabins, Grill, Classroom, Home, Workplace, Office etc, 12pack",Industrial  Scientific,Tools & Hardware,Magnetic Hooks,4,Home Users
"Keyless Entry Door Lock with Handles, UYF Electronic Keypad Deadbolt Lock with Lever, Front Door Lock Set, Auto Lock, Smart Digital Touchscreen with Fobs Code Key, Easy Installation",Industrial  Scientific,Tools & Hardware,Electronic Door Locks,4,Home Users
"KEZE 160PCS Silicone and Rubber Gasket for Shower Head Gasket Garden Hose Gasket for 1"", 3/4"", 1/2"", 3/8"", Pipe Repair",Industrial  Scientific,Tools & Hardware,Plumbing Gaskets,4,Home Users
"Slice 10514 Mini Cutter, Ceramic Safety Blade, Pocket Sized, Auto-Retractable, Stays Sharp up to 10X Longer, Grey",Industrial  Scientific,Tools & Hardware,Utility Knives,5,Professionals
"BIC Velocity Mechanical Pencils with Colored Leads, Medium Point (0.7 mm), 6-Count Pack, Perfect for Drawing and Journaling (MV7CP61-AST)",Industrial  Scientific,Tools & Hardware,Mechanical Pencils,5,Hobbyists
